,pairs,p_values
123,"('ADRE', 'BIB')",0.00015441943403409216
124,"('ADRE', 'CHIQ')",0.022058504223515508
125,"('ADRE', 'CN')",0.004036349805616462
126,"('ADRE', 'CNCR')",0.007358898942867882
127,"('ADRE', 'CQQQ')",0.039779507445885584
128,"('ADRE', 'DBJP')",0.04525063776263593
129,"('ADRE', 'EMQQ')",0.03767201674864943
130,"('ADRE', 'EWJ')",0.015655798563957886
131,"('ADRE', 'FNI')",0.00702346028619995
132,"('ADRE', 'IBB')",0.014587658777353688
133,"('ADRE', 'IHE')",0.03252347354672667
134,"('ADRE', 'ISZE')",0.049904728606626855
135,"('ADRE', 'JNUG')",0.025842812454409725
136,"('ADRE', 'JPXN')",0.0051788830118144474
137,"('ADRE', 'KBA')",0.04727790570442746
138,"('ADRE', 'LABU')",0.0176874041875155
139,"('AFK', 'CID')",0.0035366903861735613
140,"('AFK', 'DTH')",0.0030770293239950645
141,"('AFK', 'EFV')",0.0027044716599744986
142,"('AFK', 'EMFM')",0.03864246551265546
143,"('AFK', 'EUFN')",0.004610630356067702
144,"('AFK', 'EWP')",0.00364653629842073
145,"('AFK', 'EWS')",0.024441429166061145
146,"('AFK', 'EWU')",0.009104570123898046
147,"('AFK', 'FJP')",0.022482280958598885
148,"('AFK', 'GDX')",0.029967169263884177
149,"('AFK', 'GLIN')",0.0030216787718719607
150,"('AFK', 'GREK')",0.04652409231920734
151,"('AFK', 'HDAW')",0.03785019171408657
152,"('AFK', 'INDL')",0.003643198661062778
153,"('AFK', 'KORU')",0.019432475233337503
154,"('AFTY', 'ARKQ')",0.049595695256496576
155,"('AFTY', 'BBC')",0.012108167285585196
156,"('AFTY', 'BBP')",0.046975710066168366
157,"('AFTY', 'BIB')",0.015875099998438995
158,"('AFTY', 'BICK')",0.04147719588677693
159,"('AFTY', 'BZQ')",0.021435197212393453
160,"('AFTY', 'CHIQ')",0.017794280347637886
161,"('AFTY', 'CXSE')",0.04488528250332289
162,"('AFTY', 'DBEM')",0.023724193345537683
163,"('AFTY', 'DBGR')",0.030680738946500464
164,"('AFTY', 'EDZ')",0.01856841491413318
165,"('AFTY', 'EEMA')",0.044496877958605914
166,"('AFTY', 'EFAD')",0.04313065543865294
167,"('AFTY', 'EFG')",0.029650177810175756
168,"('AFTY', 'EFZ')",0.039126210293219936
169,"('AFTY', 'ERTH')",0.002445513590493363
170,"('AFTY', 'EWGS')",0.03808073199549532
171,"('AFTY', 'EWJ')",0.009179331064441321
172,"('AFTY', 'EWV')",0.01170808213138054
173,"('AFTY', 'FFTY')",0.030444458536158455
174,"('AFTY', 'FNI')",0.04062099428040464
175,"('AFTY', 'FPX')",0.0328760276600495
176,"('AFTY', 'FPXI')",0.04519079820964885
177,"('AFTY', 'GMF')",0.01779050909669998
178,"('AFTY', 'HEEM')",0.011867922469796283
179,"('AFTY', 'HEWJ')",0.02846554119534968
180,"('AFTY', 'IBB')",0.0191413569035524
181,"('AFTY', 'IDHQ')",0.0389629802872452
182,"('AFTY', 'IMTM')",0.018210058453557724
183,"('AFTY', 'IPO')",0.02570625715292223
184,"('AFTY', 'ISCG')",0.04440820197265352
185,"('AFTY', 'ITB')",0.015652930992599522
186,"('AFTY', 'IWO')",0.03845813805823792
187,"('AFTY', 'IYJ')",0.04893229280402591
188,"('AFTY', 'JPXN')",0.007834559056307372
189,"('AFTY', 'KLDW')",0.047252216850247566
190,"('AIA', 'BBC')",0.00020690665226442674
191,"('AIA', 'BBP')",0.0021524873450825166
192,"('AIA', 'BIB')",4.9970457822158586e-05
193,"('AIA', 'CHIQ')",0.03941337810284738
194,"('AIA', 'CN')",0.014213474371821475
195,"('AIA', 'CNCR')",0.030623720918954073
196,"('AIA', 'DBJP')",0.021799750603174028
197,"('AIA', 'EWJ')",0.008826796149674875
198,"('AIA', 'FNI')",0.03986926927484956
199,"('AIA', 'HEWJ')",0.02134231730256062
200,"('AIA', 'IBB')",0.017835113587279322
201,"('AIA', 'JNUG')",0.009761292914794906
202,"('AIA', 'JPXN')",0.0047992797613181275
203,"('AIRR', 'BIB')",0.003946145905493774
204,"('AIRR', 'DBAW')",0.006922878019107427
205,"('AIRR', 'DBEF')",0.0067339984958398255
206,"('AIRR', 'DBEU')",0.007562188838197447
207,"('AIRR', 'DBEZ')",0.005435633387202001
208,"('AIRR', 'DBGR')",0.022327155284105716
209,"('AIRR', 'DBJP')",0.00024191507394374532
210,"('AIRR', 'DGT')",0.012310800633606131
211,"('AIRR', 'EFZ')",0.04293998205511417
212,"('AIRR', 'EIS')",0.007463377231919357
213,"('AIRR', 'EWC')",0.00740037150244926
214,"('AIRR', 'EWJ')",0.010848853162596091
215,"('AIRR', 'EXI')",0.04754746515752415
216,"('AIRR', 'FMAT')",0.02603784690935049
217,"('AIRR', 'FSZ')",0.018255281369167337
218,"('AIRR', 'HAWX')",0.0034554833694540412
219,"('AIRR', 'HEFA')",0.01669818087525823
220,"('AIRR', 'HEWC')",0.011637424534040944
221,"('AIRR', 'HEWG')",0.029148415898436617
222,"('AIRR', 'HEWJ')",0.00015581632184220453
223,"('AIRR', 'HEZU')",0.015096629817360735
224,"('AIRR', 'HFXI')",0.00989966973653566
225,"('AIRR', 'IHE')",0.04621381278207572
226,"('AIRR', 'IJH')",0.02402232697775519
227,"('AIRR', 'INDA')",0.016853031876717155
228,"('AIRR', 'INDY')",0.01652929427037118
229,"('AIRR', 'IQLT')",0.027913287098711284
230,"('AIRR', 'ISRA')",0.037390250530111635
231,"('AIRR', 'IVOO')",0.02301029794009943
232,"('AIRR', 'IYM')",0.02898504052280843
233,"('AIRR', 'JNUG')",0.01884174026112714
234,"('AIRR', 'JPXN')",0.024720983644360536
235,"('AIRR', 'KCE')",0.015827257564750445
236,"('AIRR', 'MDY')",0.020950796064276942
237,"('AIVI', 'CIZ')",0.006124028626500839
238,"('AIVI', 'DEEP')",0.038123619887004294
239,"('AIVI', 'DEM')",0.026498183013391997
240,"('AIVI', 'DES')",0.019666925136849957
241,"('AIVI', 'DGS')",0.03206361797494148
242,"('AIVI', 'DLS')",0.027253200670694984
243,"('AIVI', 'ECNS')",0.026411688176288393
244,"('AIVI', 'EDC')",0.028200311004843374
245,"('AIVI', 'EELV')",0.004604054506128047
246,"('AIVI', 'EEMO')",0.00033142243546888117
247,"('AIVI', 'EWI')",0.03855142767380755
248,"('AIVI', 'EWO')",0.019942337916041906
249,"('AIVI', 'FDD')",0.012012037858847949
250,"('AIVI', 'FM')",0.02140566769015924
251,"('AIVI', 'FTHI')",0.0400282643937807
252,"('AIVI', 'GREK')",0.0015186070951111474
253,"('AIVI', 'IAT')",0.013954463845048443
254,"('AIVI', 'IDOG')",0.014597031214231202
255,"('AIVI', 'IVLU')",0.02859827641622355
256,"('AIVI', 'JPEM')",0.033346628447248616
257,"('AIVI', 'KBE')",0.006241438187292726
258,"('AIVI', 'KBWR')",0.003307171658321162
259,"('AIVI', 'KRE')",0.005238749817658343
260,"('AIVI', 'MIDU')",0.026839167957402817
261,"('AIVL', 'ASHR')",0.045273492623230834
262,"('AIVL', 'ASHX')",0.04822373745294622
263,"('AIVL', 'BFOR')",0.04369989170991893
264,"('AIVL', 'CARZ')",0.016998220477464993
265,"('AIVL', 'CDC')",0.02971335309939971
266,"('AIVL', 'CFO')",0.031223006349891304
267,"('AIVL', 'CHAD')",0.04343016677250127
268,"('AIVL', 'CHAU')",0.040438423396755435
269,"('AIVL', 'CHII')",0.013474139131042675
270,"('AIVL', 'CHIM')",0.020061441022393715
271,"('AIVL', 'CIBR')",0.049991780199217434
272,"('AIVL', 'COPX')",0.026867730779796
273,"('AIVL', 'CSA')",0.015531543322388439
274,"('AIVL', 'CSB')",0.009958449520196633
275,"('AIVL', 'CSF')",0.008119805252600393
276,"('AIVL', 'DBEF')",0.03942846865571579
277,"('AIVL', 'DBEZ')",0.024168208039993654
278,"('AIVL', 'DBJP')",0.02432772098701555
279,"('AIVL', 'DDIV')",0.043427384406187326
280,"('AIVL', 'DEEF')",0.004411511809812454
281,"('AIVL', 'DFE')",0.03036205401636991
282,"('AIVL', 'DGS')",0.04968778929180593
283,"('AIVL', 'DON')",0.00211308719262515
284,"('AIVL', 'DRIP')",0.04153744009284679
285,"('AIVL', 'DUG')",0.02858884246391103
286,"('AIVL', 'DVY')",0.01360172886150153
287,"('AIVL', 'DWAS')",0.034537596234922946
288,"('AIVL', 'DXJ')",0.00517255017316524
289,"('AIVL', 'DXJS')",0.044970577250147484
290,"('AIVL', 'EDEN')",0.04772702263639685
291,"('AIVL', 'EEMS')",0.029281354680088113
292,"('AIVL', 'EES')",0.003446818945530082
293,"('AIVL', 'EFA')",0.04170197518144002
294,"('AIVL', 'EFNL')",0.0474454460096612
295,"('AIVL', 'EFU')",0.044214439600143624
296,"('AIVL', 'EFZ')",0.04292789743150547
297,"('AIVL', 'EIRL')",0.003204925797314511
298,"('AIVL', 'ENOR')",0.023958273776376514
299,"('AIVL', 'EPI')",0.00047801388957828317
300,"('AIVL', 'EPV')",0.04237665330023379
301,"('AIVL', 'ERY')",0.04157266865972453
302,"('AIVL', 'EUSC')",0.02436610101535468
303,"('AIVL', 'EWI')",0.0022100102434468036
304,"('AIVL', 'EWN')",0.031998497452327725
305,"('AIVL', 'EWO')",0.0156286331024858
306,"('AIVL', 'EWQ')",0.013892009200342472
307,"('AIVL', 'EWSC')",0.01486803643917903
308,"('AIVL', 'EWT')",0.03331723446607018
309,"('AIVL', 'EWUS')",0.0108323886265324
310,"('AIVL', 'EZM')",0.014697852878537193
311,"('AIVL', 'EZU')",0.024475819102672273
312,"('AIVL', 'FAB')",0.02716814961580381
313,"('AIVL', 'FAD')",0.04899846571666526
314,"('AIVL', 'FAS')",0.003421237063659254
315,"('AIVL', 'FAZ')",0.038760655325288086
316,"('AIVL', 'FDD')",0.013415851573392493
317,"('AIVL', 'FDM')",0.008010241779119501
318,"('AIVL', 'FEP')",0.04721947599008361
319,"('AIVL', 'FEZ')",0.03234887092395786
320,"('AIVL', 'FFTY')",0.04899063245898465
321,"('AIVL', 'FKU')",0.003183046795410329
322,"('AIVL', 'FM')",0.017157260979331523
323,"('AIVL', 'FNCL')",0.009706966533833124
324,"('AIVL', 'FNDA')",0.009581891401411975
325,"('AIVL', 'FNDE')",0.023333244978126208
326,"('AIVL', 'FNDF')",0.009349424214264594
327,"('AIVL', 'FNK')",0.008448919192997222
328,"('AIVL', 'FSZ')",0.038939522873244814
329,"('AIVL', 'FXO')",0.001695939023250557
330,"('AIVL', 'FYC')",0.028778394709371193
331,"('AIVL', 'FYX')",0.02598796078075139
332,"('AIVL', 'GNR')",0.02230752587940746
333,"('AIVL', 'GRES')",0.007483733635971346
334,"('AIVL', 'GUNR')",0.027792920481991928
335,"('AIVL', 'HAP')",0.030219128063292997
336,"('AIVL', 'HDGE')",0.04987731740938143
337,"('AIVL', 'HEDJ')",0.03631673666508836
338,"('AIVL', 'HEFA')",0.01623144487642579
339,"('AIVL', 'HEWJ')",0.02769289624298144
340,"('AIVL', 'HEZU')",0.015774739934524728
341,"('AIVL', 'IAI')",0.024324171955145673
342,"('AIVL', 'IAK')",0.017692605880869842
343,"('AIVL', 'IAT')",0.00033986984142769447
344,"('AIVL', 'IEFA')",0.0399747230614251
345,"('AIVL', 'IEUR')",0.030440156113085405
346,"('AIVL', 'IEUS')",0.0203186016996269
347,"('AIVL', 'IEV')",0.027287820614103606
348,"('AIVL', 'IFV')",0.03908123619721871
349,"('AIVL', 'IGN')",0.02655551412564112
350,"('AIVL', 'IJJ')",0.023312539876336337
351,"('AIVL', 'IJR')",0.018541198448522363
352,"('AIVL', 'IJS')",0.002080867368380008
353,"('AIVL', 'IJT')",0.03810005386696869
354,"('AIVL', 'IMCV')",0.005892265317842152
355,"('AIVL', 'IMOM')",0.04494077642784003
356,"('AIVL', 'INCO')",0.003181467017921526
357,"('AIVL', 'INDA')",0.002721888490026388
358,"('AIVL', 'INDY')",0.0029128249195587447
359,"('AIVL', 'IVOV')",0.030312633009573327
360,"('AIVL', 'IWC')",0.02012575483486439
361,"('AIVL', 'IWM')",0.04309864829841149
362,"('AIVL', 'IWN')",0.0013915480421019767
363,"('AIVL', 'IXG')",0.0010159140621108045
364,"('AIVL', 'IYF')",0.045549953199453645
365,"('AIVL', 'IYG')",0.032401272929738004
366,"('AIVL', 'JNUG')",0.026179512017655913
367,"('AIVL', 'KBA')",0.04314050285545402
368,"('AIVL', 'KBE')",0.011205758504826451
369,"('AIVL', 'KBWB')",0.0005977437919888939
370,"('AIVL', 'KCE')",0.030403909972604098
371,"('AIVL', 'KRE')",0.009593495126120538
372,"('AIVL', 'LIT')",0.02459726501079199
373,"('AIVL', 'MDYV')",0.02339619153725579
374,"('AIVL', 'MIDU')",0.002218841335236759
375,"('AMJ', 'AMLP')",0.004197535069427303
376,"('AMJ', 'AMUB')",0.030868791248362087
377,"('AMJ', 'AMZA')",0.007282603707007151
378,"('AMJ', 'ARKK')",0.04474205295011596
379,"('AMJ', 'BBC')",0.028119421713129755
380,"('AMJ', 'BIS')",0.04248258110128496
381,"('AMJ', 'DUST')",0.011332112246912282
382,"('AMJ', 'ENZL')",0.03594490649868624
383,"('AMJ', 'FPXI')",0.04789821759770661
384,"('AMJ', 'GDX')",0.010522657477817826
385,"('AMJ', 'GDXJ')",0.03554509263230388
386,"('AMJ', 'GUSH')",0.03473295526038577
