,pairs,p_values
124,"('ACWI', 'FTDS')",0.00019632702629226466
125,"('ACWI', 'FXG')",0.04749053708925174
126,"('ACWI', 'FXL')",0.0192739267837334
127,"('ACWI', 'FXR')",0.011156819039843256
128,"('ACWI', 'FXZ')",0.03803778800031
129,"('ACWI', 'FYT')",0.018552397515182444
130,"('ACWI', 'GNR')",0.04645823522393211
131,"('ACWI', 'GRES')",0.046984563783438245
132,"('ACWI', 'HAWX')",0.02535236187098129
133,"('ACWI', 'IJH')",0.01579636989412343
134,"('ACWI', 'IJJ')",0.029656296867333388
135,"('ACWI', 'IJK')",0.005253672645593566
136,"('ACWI', 'IJT')",0.03313582737426732
137,"('ACWI', 'ILCG')",0.033464693637586994
138,"('ACWI', 'IMCG')",0.008683163146981334
139,"('ACWI', 'IUSV')",0.02300525730269712
140,"('ACWI', 'IVOG')",0.007826719760366427
141,"('ACWI', 'IVOO')",0.015815154020524507
142,"('ACWI', 'IWD')",0.014477157823218395
143,"('ACWI', 'MDY')",0.020423198923067386
144,"('ACWI', 'MDYG')",0.0019043925068986417
145,"('ACWI', 'MDYV')",0.017822775982747043
146,"('ACWI', 'MIDU')",0.016577754189959045
147,"('ACWI', 'MVV')",0.022116418494690232
148,"('ACWI', 'NZAC')",0.009731930950280776
149,"('ACWI', 'ONEO')",0.042949572928281006
150,"('ACWI', 'ONEY')",0.02298910704082857
151,"('ACWI', 'PKW')",0.025000318538804946
152,"('ACWI', 'PXQ')",0.008690133336743634
153,"('ACWI', 'QQEW')",0.004827019981894555
154,"('ACWI', 'QTEC')",0.049845316485975025
155,"('ACWI', 'QVAL')",0.048185281804313286
156,"('ACWI', 'RODI')",0.044929487540959094
157,"('ACWI', 'RPG')",0.0493713338888139
158,"('ACWI', 'RWK')",0.026201935826558942
159,"('ACWI', 'SIZE')",0.0007279974884692532
160,"('ACWI', 'SLYG')",0.03669257624762271
161,"('ACWI', 'SMDV')",0.011560152152622983
162,"('ACWI', 'SMLF')",0.04470169233878892
163,"('ACWI', 'SMLV')",0.01964188614530461
164,"('ACWI', 'SPGM')",0.03787447767035622
165,"('ACWI', 'SPMD')",0.01254651979137199
166,"('ACWI', 'SPYV')",0.030121329575144462
167,"('ACWI', 'SURE')",0.0381013346555089
168,"('ACWI', 'SYLD')",0.04758031420699205
169,"('ACWI', 'UMDD')",0.01763763643353765
170,"('ACWI', 'USLB')",0.013476329064285638
171,"('ACWI', 'VIOG')",0.03889924158294896
172,"('ACWI', 'VNM')",0.020159723297731524
173,"('ACWI', 'VONV')",0.011311690326561496
174,"('ACWI', 'VOT')",0.010373492836265949
175,"('ACWI', 'WIL')",0.018135516818046902
176,"('ACWI', 'XMHQ')",0.027048219598936964
177,"('ACWV', 'AIVL')",0.03219597631496156
178,"('ACWV', 'CURE')",0.04267574230456368
179,"('ACWV', 'DEW')",0.03186542948007666
180,"('ACWV', 'FSZ')",0.017671368032436286
181,"('ACWV', 'IHE')",0.030198953842770163
182,"('ACWV', 'IXJ')",0.01781092776850169
183,"('ACWV', 'IYH')",0.03335658766076576
184,"('ACWV', 'PUI')",0.046433591090390344
185,"('ACWV', 'PWC')",0.008590334789203392
186,"('ACWV', 'RXD')",0.012475769741768809
187,"('ACWV', 'RXL')",0.037544918878281326
188,"('ACWV', 'VLUE')",0.04814678737977779
189,"('ACWV', 'XLV')",0.033059867892000765
190,"('ACWX', 'ARKK')",0.016301903071883686
191,"('ACWX', 'ARKW')",0.018711457698359947
192,"('ACWX', 'BBP')",0.020665507730436638
